date,AS,CT,GT,SD,SK,SXK
2024-05-01,13.79,40.69,2.83,14.98,115.46,21.55
2024-05-02,18.69,40.2,2.11,16.07,116.1,18.19
2024-05-03,13.37,41.09,1.93,16.75,138.77,27.66
2024-05-04,17.2,38.0,2.54,18.48,105.79,31.2
2024-05-05,16.92,40.68,2.46,18.45,130.56,35.8
2024-05-06,16.17,41.84,2.45,16.45,107.67,33.13
2024-05-07,14.59,33.6,2.28,18.22,98.71,33.09
2024-05-08,14.16,40.92,2.7,24.81,117.44,43.11
2024-05-09,13.48,40.24,2.68,26.1,127.72,35.83
2024-05-10,16.24,44.09,2.59,20.92,135.57,28.58
2024-05-11,14.98,42.99,2.65,23.5,135.77,38.23
2024-05-12,15.22,50.08,2.47,23.21,116.25,36.67
2024-05-13,16.52,61.34,2.93,26.96,92.8,42.33
2024-05-14,14.5,41.96,2.7,23.29,82.45,41.65
2024-05-15,18.66,53.79,2.53,22.75,110.73,43.4
2024-05-16,15.82,41.25,2.26,22.85,130.01,48.2
2024-05-17,18.34,39.6,2.24,29.28,112.97,47.12
2024-05-18,19.83,42.11,2.05,25.08,115.92,47.24
2024-05-19,19.14,49.98,2.27,36.14,114.1,47.23
2024-05-20,20.45,38.26,1.76,27.89,150.07,49.51
2024-05-21,19.83,45.74,1.96,35.75,156.47,49.84
2024-05-22,17.79,44.4,2.62,27.97,136.82,40.38
2024-05-23,14.78,58.67,1.93,23.59,185.15,48.95
2024-05-24,17.23,56.93,2.51,25.76,180.71,49.25
2024-05-25,18.55,59.67,2.8,20.78,200.64,41.83
2024-05-26,16.25,46.09,2.37,21.95,191.21,39.11
2024-05-27,23.26,67.52,2.26,19.21,157.63,37.15
2024-05-28,22.88,57.69,2.38,18.52,175.15,34.33
2024-05-29,26.28,58.8,1.78,18.81,212.94,28.47
2024-05-30,23.55,67.5,1.62,19.39,191.53,29.52
2024-05-31,27.65,57.15,2.1,19.6,178.05,26.9
2024-06-01,28.98,50.8,2.2,19.0,172.55,23.62
